T,TM,Tm,H,VV,V,VM,PM 2.5
31.3,37.7,25.2,55,3.7,5.7,14.8,69.70833333333333
31.4,38.7,24.7,56,3.4,5.4,16.5,62.375
30,35.8,25.5,71,3.7,10.9,18.3,24.875
29.5,34.9,23,73,3.1,7.2,16.5,43.958333333333336
30.1,35.4,25,67,3.1,5.2,14.8,41.5
30.7,37,24.2,58,2.9,3.3,11.1,38.791666666666664
29.5,36.8,23.4,46,3.7,5.9,18.3,30.333333333333332
29.4,36.5,22,46,3.9,8,22.2,26.666666666666668
29,36.5,22,55,3.5,7.2,20.6,29.0
28.7,35.7,21,51,3.1,6.5,16.5,61.708333333333336
29,35.7,22.1,56,2.4,4.4,11.1,60.541666666666664
28.9,36.8,22,54,2.7,4.6,11.1,41.583333333333336
28.6,36,22.2,49,2.7,5.6,22.2,80.04166666666667
29,37,21.1,45,2.9,4.3,16.5,82.83333333333333
28.6,36.8,20,44,2.6,3.9,11.1,95.25
28.6,37.2,19,48,2.3,3.1,11.1,126.16666666666667
28.2,36,20.2,47,2.1,3.7,14.8,136.70833333333334
24.6,33,18.1,46,2.1,3.9,11.1,245.66666666666666
25.6,35,17.2,49,2.3,5.6,14.8,261.6666666666667
25.1,33.1,18,53,2.3,5.2,11.1,272.4166666666667
23.9,31,17.6,60,1.4,5,9.4,149.625
24.7,33,18.3,58,1.9,8.5,11.1,99.70833333333333
24.2,31.2,18.4,67,1.4,5.4,13,217.375
24.2,31.2,18,69,1.6,5,11.1,309.375
22.1,30.2,13,67,0.5,3.3,11.1,321.5416666666667
20.2,28,12,74,0.3,3.1,11.1,278.0
21.9,30,14.5,57,0.6,3,9.4,192.33333333333334
21.2,28.9,14.6,65,1,7,11.1,224.16666666666666
21.2,28.4,16,60,1.1,10.9,16.5,196.75
21,28.2,15,57,1.8,9.1,14.8,221.54166666666666
18.8,24.5,13,47,2.6,11.5,22.2,166.70833333333334
16.5,24.6,10,51,2.1,8.3,16.5,130.70833333333334
16.7,24.4,9,48,2.7,7.6,18.3,194.70833333333334
17.7,26.4,10.5,42,2.1,4.6,14.8,134.45833333333334
16.2,26,11.4,51,1.4,2.8,13,110.0
17.7,25.4,10.5,48,2.1,7.8,18.3,160.0
17.2,26,9.3,47,2.3,3.5,13,118.91666666666667
16.9,26.1,9,45,2.3,3.1,14.8,176.375
16.9,26.1,9.8,51,1.6,1.9,9.4,185.95833333333334
17.8,24.7,11,39,3.4,11.5,22.2,239.125
16.8,24.2,9.6,40,2.4,8.1,20.6,365.2916666666667
17.3,26.1,9.6,44,2.3,3.5,9.4,312.2083333333333
14.2,19,11,88,0.6,9.6,14.8,121.33333333333333
12.8,18.4,9,83,1.1,10.9,16.5,202.875
11.9,19.9,8,76,1.1,11.1,14.8,260.1666666666667
15.4,23.4,9,58,1.6,7.2,14.8,277.7083333333333
16.5,21.2,10.6,71,1,5.9,14.8,284.1666666666667
16.8,24.2,11,67,1,7.6,14.8,288.4166666666667
14.8,22.8,8.9,66,1.3,5.6,18.3,166.91666666666666
14.8,23,8,68,1.4,5.6,13,169.0
16.2,25,8.6,57,1.9,3.7,14.8,186.04166666666666
